gene_id	lib227	lib238	lib281	lib289	lib296	lib310	lib343
ENSG00000000419	18	18	20	23	24	19	24
ENSG00000000457	9	7	10	8	9	7	12
ENSG00000000460	5	4	5	6	4	5	6
ENSG00000000938	1711	1854	1827	1722	1672	1529	2074
ENSG00000000971	1	1	2	1	0	0	1
ENSG00000001036	58	80	75	85	83	83	85
ENSG00000001084	34	30	35	35	35	28	28
ENSG00000001167	74	61	75	80	72	65	71
ENSG00000001460	1	2	2	2	1	1	2
ENSG00000001461	10	13	10	10	11	7	13
ENSG00000001497	28	33	33	34	35	32	38
ENSG00000001561	7	8	9	4	10	3	9
ENSG00000001617	0	0	0	1	1	0	1
ENSG00000001629	43	43	44	39	37	37	41
ENSG00000001630	3	5	4	3	2	3	3
ENSG00000001631	21	21	22	23	21	18	23
ENSG00000002016	4	7	8	9	7	6	6
ENSG00000002330	13	10	11	13	13	15	14
ENSG00000002549	166	457	823	214	259	255	512
ENSG00000002586	247	136	94	189	136	136	185
ENSG00000002587	0	3	0	0	0	0	0
ENSG00000002726	0	0	1	1	0	2	2
ENSG00000002822	36	63	45	52	42	37	54
ENSG00000002834	480	339	511	355	407	411	418
ENSG00000002919	46	34	61	34	44	48	49
ENSG00000002933	7	10	151	211	35	222	108
ENSG00000003056	187	184	212	197	195	178	222
ENSG00000003096	0	0	0	1	0	0	0
ENSG00000003147	6	4	4	4	5	3	4
ENSG00000003393	21	16	13	17	15	16	20
ENSG00000003400	54	64	77	48	56	51	61
ENSG00000003402	167	181	197	152	144	163	171
ENSG00000003436	0	0	1	1	0	0	0
ENSG00000003509	9	11	10	11	11	11	13
ENSG00000003756	132	123	115	143	121	102	126
ENSG00000003987	2	2	2	1	2	2	3
ENSG00000004059	173	149	147	160	186	196	188
ENSG00000004139	3	4	4	4	5	4	6
ENSG00000004142	66	63	61	60	68	62	71
ENSG00000004399	459	268	376	381	373	437	421
ENSG00000004455	120	132	131	122	136	121	124
ENSG00000004468	4	18	26	7	11	7	13
ENSG00000004478	32	29	37	46	38	52	49
ENSG00000004487	37	39	37	40	40	37	42
ENSG00000004534	96	141	118	109	114	107	129
ENSG00000004660	22	18	11	24	15	33	36
ENSG00000004700	32	36	38	29	35	32	42
ENSG00000004766	16	17	17	19	16	15	19
ENSG00000004777	10	8	11	7	7	10	13
ENSG00000004779	21	20	20	23	23	26	24
ENSG00000004799	22	52	49	5	37	5	36
ENSG00000004809	6	3	7	5	3	3	3
ENSG00000004838	1	1	2	2	1	2	2
ENSG00000004864	25	20	22	23	22	23	25
ENSG00000004866	6	4	6	5	7	7	6
ENSG00000004897	41	40	42	35	44	37	46
ENSG00000004961	24	18	25	22	17	25	26
ENSG00000004975	20	20	23	18	22	22	23
ENSG00000005007	111	95	104	123	110	122	142
ENSG00000005020	237	208	230	181	172	160	150
ENSG00000005022	247	252	254	295	359	362	282
ENSG00000005059	71	85	92	66	91	73	79
ENSG00000005075	30	24	37	33	37	39	33
ENSG00000005100	25	15	20	24	20	17	19
ENSG00000005156	15	21	23	18	20	16	20
ENSG00000005175	16	24	28	17	18	16	18
ENSG00000005187	2	2	3	3	3	4	2
ENSG00000005189	1	1	1	1	1	1	0
ENSG00000005194	29	27	28	28	32	29	31
ENSG00000005206	46	39	44	48	49	52	50
ENSG00000005238	117	165	128	106	113	118	140
ENSG00000005243	1	2	2	2	3	3	2
ENSG00000005249	14	19	15	18	19	12	8
ENSG00000005302	129	132	145	117	103	93	124
ENSG00000005339	296	252	246	268	260	284	361
ENSG00000005379	24	79	25	57	34	34	65
ENSG00000005381	13	16	19	24	19	18	18
ENSG00000005436	7	8	11	9	9	8	10
ENSG00000005448	2	2	2	3	4	3	3
ENSG00000005469	4	4	4	4	4	3	4
ENSG00000005483	172	176	158	165	157	145	191
ENSG00000005486	48	45	33	47	43	45	52
ENSG00000005700	58	50	43	50	56	45	46
ENSG00000005801	16	13	18	19	14	14	19
